Brand,Source,Published_Date,Combined_Text,Cleaned_Text,topic,topic_confidence,topic_group
Flipkart,BusinessLine,2026-03-13T11:25:25Z,Swiggy and HDFC Bank Elevate Everyday and Travel Rewards with the Launch of Two New Co-branded Credit Cards Swiggy and HDFC Bank Elevate Everyday and Travel Rewards with the Launch of Two New Co-branded Credit Cards,swiggy hdfc bank elevate everyday travel rewards launch two new cobranded credit cards swiggy hdfc bank elevate everyday travel rewards launch two new cobranded credit cards,expansion,1.0,Growth
Flipkart,The Times of India,2026-03-13T09:31:00Z,"Gas refill dispatches nosedive 25% in Madhya Pradesh, curbs on commercial supply bite LPG cylinder deliveries across Madhya Pradesh saw a sharp decline on Thursday. This reduction stemmed from global fuel supply chain issues and increased consumer bookings. Oil companies adjusted deliveries to commercial establishments. Despite adequate fuel s…",gas refill dispatches nosedive madhya pradesh curbs commercial supply bite lpg cylinder deliveries across madhya pradesh saw sharp decline thursday reduction stemmed global fuel supply chain issues increased consumer bookings oil companies adjusted deliveries commercial establishments despite adequate fuel,logistics,1.0,Operations
Flipkart,The Times of India,2026-03-13T09:30:56Z,"Better Piped Natural Gas (PNG) coverage could have eased supply situation: Experts Madhya Pradesh faces LPG supply concerns, lagging behind neighboring states in Piped Natural Gas (PNG) connections. Despite government assurances of sufficient LPG, experts suggest wider PNG distribution could alleviate current cooking gas stress. The state's…",better piped natural gas png coverage could eased supply situation experts madhya pradesh faces lpg supply concerns lagging behind neighboring states piped natural gas png connections despite government assurances sufficient lpg experts suggest wider png distribution could alleviate current cooking gas stress states,regulation,1.0,Policy
Flipkart,The Times of India,2026-03-13T09:29:32Z,"3 workers die of suffocation while cleaning tank at Rajasthan textile factory Three workers tragically died from suffocation after inhaling toxic gas while cleaning a sludge tank at Lalji Wala Mills in Balotra. The workers, identified as Gumanaram, Vishambhar Tiwari, and Shravan, were reportedly sent into the tank without proper safety…",workers die suffocation cleaning tank rajasthan textile factory three workers tragically died suffocation inhaling toxic gas cleaning sludge tank lalji wala mills balotra workers identified gumanaram vishambhar tiwari shravan reportedly sent tank without proper safety,other,0.8,Misc
Flipkart,The Times of India,2026-03-13T09:28:16Z,BPSC releases answer keys for Assistant Section Officer Main Exam 2025: Objection window opens March 14 The Bihar Public Service Commission (BPSC) has released provisional answer keys for the ASO Main (Objective) Competitive Examination 2025 on its official website. Candidates can check the keys and raise objections against any incorrect answers online from Mar…,bpsc releases answer keys assistant section officer main exam objection window opens march bihar public service commission bpsc released provisional answer keys aso main objective competitive examination official website candidates check keys raise objections incorrect answers online mar,technology,1.0,Innovation
Flipkart,The Times of India,2026-03-13T09:16:53Z,"From Oval Office to viral joke: Donald Trump’s White House prayer moment turns into a meme fest in China A White House prayer video featuring President Trump has sparked a viral parody trend in China. Small business owners are humorously recreating the scene to promote their products and boost sales, with these lighthearted clips garnering millions of views onli…",oval office viral joke donald trumps white house prayer moment turns meme fest china white house prayer video featuring president trump sparked viral parody trend china small business owners humorously recreating scene promote products boost sales lighthearted clips garnering millions views onli,discounts,1.0,Pricing Strategy
Flipkart,The Times of India,2026-03-13T08:46:26Z,"Sapta Durgas of Coastal Karnataka's Tulunadu: 7 Powerful Durga temples to visit together on Fridays Coastal Karnataka's Tulunadu region reveres the divine feminine through the Sapta Durgas, seven powerful sister goddesses. Devotees undertake a sacred Friday pilgrimage to all seven ancient shrines, believing it brings good fortune and protection. These templ…",sapta durgas coastal karnatakas tulunadu powerful durga temples visit together fridays coastal karnatakas tulunadu region reveres divine feminine sapta durgas seven powerful sister goddesses devotees undertake sacred friday pilgrimage seven ancient shrines believing brings good fortune protection templ,other,0.8,Misc
Flipkart,The Times of India,2026-03-13T01:31:18Z,Ecomm players catching up in qcomm; Iran's tech targets Happy Friday! Ecommerce players are beefing up in the quick commerce space. This and more in today's ETtech Morning Dispatch.,ecomm players catching qcomm irans tech targets happy friday ecommerce players beefing quick commerce space todays ettech morning dispatch,expansion,0.8,Growth
Flipkart,The Times of India,2026-03-13T00:30:00Z,"Flipkart, Amazon expand dark stores as profit check slows quick commerce majors The quick-commerce foray of Flipkart and Amazon appears to have coincided with the profitability check at pioneers in this space -Swiggy and IPO-bound Zepto – and amid a broader debate over employment conditions in the last-mile, instant delivery revenue stre…",flipkart amazon expand dark stores profit check slows quick commerce majors quickcommerce foray flipkart amazon appears coincided profitability check pioneers space swiggy ipobound zepto amid broader debate employment conditions lastmile instant delivery revenue stre,logistics,1.0,Operations
Amazon India,Business Insider,2026-03-14T09:13:01Z,"I've lived in San Francisco and Austin, and I want to move back to California. Here's what Texas is missing. A woman's career took her to San Francisco, Seattle, and Austin, where she bought a house. For her, nothing beats the entrepreneurial spark of the Bay Area.",ive lived san francisco austin want move back california heres texas missing womans career took san francisco seattle austin bought house nothing beats entrepreneurial spark bay area,other,0.8,Misc
